scenario,quarter,demand,target_woh,nit_lb_pct,nit_ub_pct,inventory_0
low_volume_seasonal,Q1,220,10,0.85,1.05,125
low_volume_seasonal,Q2,235,10,0.85,1.05,
low_volume_seasonal,Q3,250,10,0.85,1.08,
low_volume_seasonal,Q4,240,10,0.85,1.08,
low_volume_seasonal,Q5,230,10,0.85,1.05,
low_volume_seasonal,Q6,225,10,0.85,1.03,
,,,,,,
steady_growth,Q1,200,10,0.85,1.15,120
steady_growth,Q2,215,10,0.85,1.15,
steady_growth,Q3,230,10,0.85,1.15,
steady_growth,Q4,245,10,0.85,1.15,
steady_growth,Q5,260,10,0.85,1.15,
steady_growth,Q6,275,10,0.85,1.15,
,,,,,,
front_loaded_spike,Q1,310,10,0.85,1.15,180
front_loaded_spike,Q2,295,10,0.85,1.15,
front_loaded_spike,Q3,250,10,0.85,1.15,
front_loaded_spike,Q4,225,10,0.85,1.15,
front_loaded_spike,Q5,210,10,0.85,1.15,
front_loaded_spike,Q6,205,10,0.85,1.15,
,,,,,,
back_loaded_ramp,Q1,180,10,0.85,1.15,110
back_loaded_ramp,Q2,190,10,0.85,1.15,
back_loaded_ramp,Q3,210,10,0.85,1.15,
back_loaded_ramp,Q4,240,10,0.85,1.15,
back_loaded_ramp,Q5,285,10,0.85,1.15,
back_loaded_ramp,Q6,325,10,0.85,1.15,
,,,,,,
seasonal_peak_q4,Q1,190,10,0.75,1.25,115
seasonal_peak_q4,Q2,210,10,0.75,1.25,
seasonal_peak_q4,Q3,240,10,0.75,1.25,
seasonal_peak_q4,Q4,330,10,0.75,1.25,
seasonal_peak_q4,Q5,230,10,0.75,1.25,
seasonal_peak_q4,Q6,205,10,0.75,1.25,
,,,,,,
demand_dip_then_recovery,Q1,240,10,0.85,1.15,140
demand_dip_then_recovery,Q2,210,10,0.85,1.15,
demand_dip_then_recovery,Q3,175,10,0.85,1.15,
demand_dip_then_recovery,Q4,190,10,0.85,1.15,
demand_dip_then_recovery,Q5,230,10,0.85,1.15,
demand_dip_then_recovery,Q6,270,10,0.85,1.15,
